address_1,senior_care_community_number_1,residence_hall_dormitory,state_province,worship_facility_gross_floor,supermarket_grocery_gross,census_tract,senior_care_community_number_2,energy_alerts,data_center_pdu_input_site,hotel_amount_of_laundry,estimated_data_flag_other,estimated_data_flag_natural,hospital_general_medical_5,senior_care_community_number_3,national_median_site_eui,refrigerated_warehouse_gross,site_energy_use_kbtu,weather_normalized_source,multifamily_housing_number_3,multifamily_housing_gross,supermarket_grocery_worker,supermarket_grocery_number_1,residence_hall_dormitory_4,hospital_general_medical,electricity_sourced_from,estimated_data_flag_diesel,bank_branch_worker_density,retail_store_gross_floor,multifamily_housing_maximum,k_12_school_cooking_facilities,multifamily_housing_number_4,medical_office_number_of,supermarket_grocery_percent,outdoor_water_use_all_water,hotel_gym_fitness_center,hotel_full_service_spa_floor,medical_office_percent_that,retail_store_number_of_walk,estimated_data_flag_fuel_1,supermarket_grocery_walk,supermarket_grocery_weekly,source_energy_use_kbtu,multifamily_housing_primary,bank_branch_weekly_operating,retail_store_exterior_entrance,data_center_national_median,k_12_school_refrigeration,percent_better_than_national,bank_branch_number_of_workers
33 Whitehall Street,Not Available,Not Available,New York,Not Available,Not Available,9.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,121.8,Not Available,54520962.2,432.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,174859161.1,Not Available,Not Available,Not Available,1.82,Not Available,10.4,Not Available
3950 Bronx Blvd.,Not Available,Not Available,New York,Not Available,Not Available,408.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,143127,9,59,54115,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,478044.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
285 Central Park West,Not Available,Not Available,New York,Not Available,Not Available,173.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,12316444.2,111.7,48,177679,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13,Not Available,192,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19819702,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
225 East 46th Street,Not Available,Not Available,New York,Not Available,Not Available,90.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,6754700.1,126.5,128,85245,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13,Not Available,128,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11065131.8,Fuel Oil (No. 5 and No. 6),Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
145 East 48th Street,Not Available,Not Available,New York,Not Available,Not Available,92.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,18661290.4,235.5,207,170711,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,35,Not Available,219,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,39505460.2,District Steam,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1270 6th Avenue,Not Available,Not Available,New York,Not Available,Not Available,104.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,152.4,Not Available,60760853.5,253.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34074,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,110307151.1,Not Available,Not Available,1,Not Available,Not Available,-11.3,Not Available
3825 Corlear Avenue,Not Available,Not Available,New York,Not Available,Not Available,285.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,58,Not Available,8638358.9,106.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18085900.5,Not Available,Not Available,Not Available,Not Available,Not Available,-8,Not Available
2112 Starling Ave,Not Available,Not Available,New York,Not Available,Not Available,222.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4581554.1,139,76,51565,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,88,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,7261315.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
31  West 11th Street,Not Available,Not Available,New York,Not Available,Not Available,63.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,2330711.5,98.6,17,47362,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9,Not Available,32,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4421049.2,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
31-21 Surf Avenue,Not Available,Not Available,New York,Not Available,Not Available,342.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,4197417,105.7,77,66755,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7,Not Available,78,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6333901.4,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
103 JOHN STREET,Not Available,Not Available,New York,Not Available,Not Available,1502.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,113.8,Not Available,18984875,171.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,51410624.5,Not Available,Not Available,Not Available,Not Available,Not Available,-44.1,Not Available
156 West 56th Street,Not Available,Not Available,New York,Not Available,Not Available,137.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,91.7,Not Available,21548811.2,189,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,71891740.6,Not Available,Not Available,Not Available,1.82,Not Available,-37.1,Not Available
1266-1268 Olmstead Ave,Not Available,Not Available,New York,Not Available,Not Available,92.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,1403900.5,51,124,85800,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6,Not Available,182,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4522639,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
175 East 79th Street,Not Available,Not Available,New York,Not Available,Not Available,140.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,5925080.4,99.3,62,92216,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15,Not Available,78,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9419108.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
200 East End Ave,Not Available,Not Available,New York,Not Available,Not Available,152.0,Not Available,Data > 120 days old<br>,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,16196332.8,113.5,189,267674,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16,Not Available,378,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30370539.2,Natural Gas,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
60 East 42 St,Not Available,Not Available,New York,Not Available,Not Available,82.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,124,Not Available,94938057.8,174,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6210,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2,Not Available,Not Available,Not Available,221783637.8,Not Available,Not Available,1,Not Available,Not Available,-41.2,Not Available
111 West 57th Street,Not Available,Not Available,New York,Not Available,Not Available,137.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,70,Not Available,3389863.1,44.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,11322142.6,Not Available,Not Available,Not Available,Not Available,Not Available,-80.4,Not Available
