property_name,movie_theater_gross_floor,transportation_terminal,estimated_savings_from_energy_1,estimated_data_flag,restaurant_worker_density,data_center_pue,alert_data_center_does_not,alert_property_has_no_uses,estimated_data_flag_natural,other_gross_floor_area_ft,energy_star_score,multifamily_housing_number_7,wholesale_club_supercenter,self_storage_facility_gross,multifamily_housing_percent,source_energy_use_kbtu,medical_office_percent_that_1,alert_meter_has_less_than,district_steam_cost,alert_individual_monthly,multifamily_housing_government,site_energy_use_kbtu,automobile_dealership_gross,food_sales_gross_floor_area,alert_no_meters_are_associated,electricity_grid_purchase,council_district,water_wastewater_estimated,investment_in_energy_projects,office_percent_that_can_be_1,national_median_site_energy,liquid_propane_use_kbtu,weather_normalized_site_3,natural_gas_use_kbtu,nta,urgent_care_clinic_other,multifamily_housing_resident,parent_property_name,multifamily_housing_number_4,parking_open_parking_lot,bank_branch_gross_floor_area,national_median_reference,weather_normalized_source,financial_office_number_of_1,hospital_general_medical_7,convenience_store_with_gas,hospital_general_medical_5,medical_office_percent_that,leed_us_project_id,repair_services_vehicle_shoe,investment_in_energy_projects_1,energy_star_certification,year_ending,retail_store_number_of_walk,data_center_gross_floor_area,temporary_values,data_center_cooling_equipment,distribution_center_gross,parent_property_id,hotel_percent_that_can_be,race_track_gross_floor_area,hotel_room_density_number,hospital_general_medical_13,library_gross_floor_area
333 East 46th Street,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,49,0,Not Available,Not Available,90,22203332.2,100,Possible Issue,Not Available,Ok,No,16102587.1,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,Not Available,16041638.7,Not Available,744330.7,13568799.7,Turtle Bay-East Midtown,Not Available,No specific resident population,Not Applicable: Standalone Property,177,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Colgate Palmolive Building,Not Available,Not Available,0,No,0,Not Available,Ok,Ok,No,Not Available,85,Not Available,Not Available,Not Available,Not Available,120163093.2,Not Available,Ok,Not Available,Ok,Not Available,53014175.3,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,85537454.2,Not Available,8556566.8,1076000,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,152.3,30,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,"2010, 2008",2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
60-01 194 St,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,1,0,Not Available,Not Available,100,7177026.2,Not Available,Ok,Not Available,Ok,No,5233656.4,Not Available,Not Available,Ok,52352.05,23.0,Not Available,0,Not Available,2671536.6,Not Available,236923,4429021.4,Fresh Meadows-Utopia,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,449.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
1700 Broadway,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,10609,52,Not Available,Not Available,Not Available,Not Available,156243276.9,Not Available,Ok,Not Available,Ok,Not Available,78573856.5,Not Available,Not Available,Ok,0,4.0,Not Available,0,100,80451100.6,Not Available,9356242.1,776345.2,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,0,Not Available,CBECS - Office & Bank/Financial,270.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
The 2805 Associates,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,19,0,Not Available,Not Available,100,10584930.6,Not Available,Possible Issue,Not Available,Ok,Not Available,8434975.1,Not Available,Not Available,Ok,Not Available,14.0,Not Available,0,Not Available,6832574.6,Not Available,282099.8,385700,Van Cortlandt Village,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,144,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,Yes,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Advanced: 2121 Shore Condominium,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,52,1.1183,Not Available,Not Available,80,12730673.5,Not Available,Possible Issue,Not Available,Ok,No,8974374.4,Not Available,Not Available,Ok,Not Available,47.0,Not Available,0,Not Available,9114115.5,Not Available,458799.2,7391800,Gravesend,Not Available,No specific resident population,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,127.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
1301 Avenue of the Americas,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,68,Not Available,Not Available,Not Available,Not Available,429152022.9,Not Available,Ok,Not Available,Ok,Not Available,232139242.2,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,288159057.1,Not Available,24260531.8,71085542.6,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,209.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,2009,2014-12-31T00:00:00.000,4,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
86-75 MIDLAND PKWY ENTM,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,82,1.18514,Not Available,Not Available,Not Available,11807765.4,Not Available,Possible Issue,Not Available,Ok,Not Available,7840031.6,Not Available,Not Available,Ok,0,24.0,Not Available,0,Not Available,9964784.3,Not Available,501429.2,6129155,Jamaica Estates-Holliswood,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,114.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
16 West 36 Associates,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,49,Not Available,Not Available,Not Available,Not Available,13194682.8,Not Available,Ok,Not Available,Ok,Not Available,6736891.3,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,6691610.7,Not Available,872242.4,1283700,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,219.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
188-02 71 Circle,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,1,0,Not Available,Not Available,100,6495185.3,Not Available,Ok,Not Available,Ok,No,4736675.9,Not Available,Not Available,Ok,49216.31,23.0,Not Available,0,Not Available,2662677.7,Not Available,213453.9,4008601.5,Fresh Meadows-Utopia,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,470.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
745 Fifth Ave.,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,Not Available,Not Available,74,Not Available,Not Available,Not Available,Not Available,117507080.9,Not Available,Ok,Not Available,Ok,Not Available,44845499.8,Not Available,Not Available,Ok,Not Available,4.0,Not Available,0,100,60560603.8,Not Available,9602798.2,Not Available,Midtown-Midtown South,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,218.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,0,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
St. Margaret's House,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,18,0,Not Available,Not Available,20,36885155,Not Available,Ok,Not Available,Ok,100% Yes,26277720.2,Not Available,Not Available,Ok,Not Available,1.0,Not Available,0,Not Available,21115219.4,Not Available,1303245.5,21831046.1,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Applicable: Standalone Property,251,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,157.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
DIAMOND: 2020 Grand Concourse,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0.76389,Not Available,Not Available,0,Not Available,Not Available,Possible Issue,Not Available,Possible Issue,No,Not Available,Not Available,Not Available,Ok,Not Available,13.0,Not Available,0,Not Available,4292520.8,Not Available,257084.8,4495299.7,Pelham Parkway,Not Available,No specific resident population,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Plastic Center,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,130000,Not Available,Not Available,Not Available,Not Available,Not Available,9739908,Not Available,Ok,Not Available,Possible Issue,Not Available,4358725.9,Not Available,Not Available,Ok,220774.82,26.0,Not Available,0,Not Available,7162758.4,Not Available,734378.4,11382.7,Hunters Point-Sunnyside-West Maspeth,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Other,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
One Liberty Plaza,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,84,Not Available,Not Available,Not Available,Not Available,612142118.7,Not Available,Ok,2006472.54,Ok,Not Available,252193365.2,Not Available,Not Available,Ok,Not Available,1.0,Not Available,0,100,379525799,Not Available,46756075.8,1720502,Battery Park City-Lower Manhattan,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Office & Bank/Financial,259.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,2014,2014-12-31T00:00:00.000,0,33000,No,"N+1, N",Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
Gramercy Medical Arts Building,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,40643037.7,100,Possible Issue,Not Available,Ok,Not Available,15240365.8,Not Available,Not Available,Ok,Not Available,2.0,Not Available,0,100,10501496,Not Available,3483535.6,168840,Gramercy,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,CBECS - Education,204.8,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
530 West End Avenue,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,90,Not Available,Not Available,Possible Issue,Not Available,Ok,No,Not Available,Not Available,Not Available,Ok,Not Available,6.0,Not Available,0,Not Available,4579106.2,Not Available,356895.1,Not Available,Upper West Side,1440,No specific resident population,Not Applicable: Standalone Property,41,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
405 WESTMINSTER RD HCM,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,54,0.89953,Not Available,Not Available,Not Available,19422245.2,Not Available,Possible Issue,Not Available,Ok,Not Available,13835068.8,Not Available,Not Available,Ok,0,40.0,Not Available,0,Not Available,14261394.8,Not Available,686491,11492761.1,Flatbush,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,124.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
61-50 223 PLACE,Not Available,Not Available,0,No,Not Available,Not Available,Ok,Ok,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Possible Issue,Not Available,Ok,Not Available,Not Available,Not Available,Not Available,Ok,Not Available,23.0,Not Available,0,Not Available,888313.3,Not Available,Not Available,1458454,Oakland Gardens,Not Available,Not Available,Not Applicable: Standalone Property,0,Not Available,Not Available,Fannie Mae Industry Survey - Multifamily,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,2014-12-31T00:00:00.000,Not Available,Not Available,No,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available
